Computer Name,IP Address,Operating System,Provider Type,Count
CMRUCT22139.sabc.cm,"fe80::b382:20c:9ff7:8c03
10.102.9.114",Windows 10 Entreprise,Tanium Client,1
CMRLPT24104.sabc.cm,"fe80::d86:b3c1:21b1:f188
10.97.45.163",Windows 10 Entreprise,Tanium Client,1
CMRLPT23058.sabc.cm,"fe80::8511:5996:a262:1a64
10.96.70.147",Windows 10 Entreprise,Tanium Client,1
CMRLPT21064.sabc.cm,"fe80::7e73:11d5:4b7a:8e02
10.100.0.219
fe80::c5bc:1e62:fe67:ce98
169.254.227.23",Windows 10 Entreprise,Tanium Client,1
CMRUCT23119.sabc.cm,"fe80::3395:16e7:a861:1e0a
10.98.2.76",Windows 10 Entreprise,Tanium Client,1
CMRUCT21064.sabc.cm,"fe80::281d:d05:ea3b:b445
10.102.34.23",Windows 10 Entreprise,Tanium Client,1
CMRUCT23173.sabc.cm,"fe80::9c07:33a:2ef9:98df
10.102.112.10",Windows 10 Entreprise,Tanium Client,1
CMRUCT23111.sabc.cm,"fe80::233b:16d0:3f27:ad5d
10.99.76.17",Windows 10 Entreprise,Tanium Client,1
CMRLPT23182.sabc.cm,"fe80::ea50:2b08:fb42:1f72
10.100.0.38",Windows 10 Entreprise,Tanium Client,1
CMRLPT23286.sabc.cm,"fe80::7076:874b:15a0:a50d
10.99.0.14",Windows 10 Entreprise,Tanium Client,1
YAOUSIN001.sabc.cm,"fe80::ed04:520:fdfc:5b12
fe80::1bfe:f5dd:5021:a6fc
10.97.7.186
10.253.120.10",Windows Server 2019 Standard,Tanium Client,1
CMRLPT21070.sabc.cm,"fe80::be6b:6f5b:2c20:9f98
192.168.100.9",Windows 10 Entreprise,Tanium Client,1
SABCBO102.sabc.cm,"::1
10.6.42.171
10.103.244.13",Windows Server 2019 Standard,Tanium Client,1
CMRLPT22165.sabc.cm,"fe80::a01d:7e38:3b67:a597
10.142.47.223",Windows 10 Entreprise,Tanium Client,1
SEMCDOMC001.sabc.cm,"::1
10.102.122.1",Windows Server 2019 Standard,Tanium Client,1
CMRLPT23032.sabc.cm,"fe80::e40f:3c93:6b5a:bc65
10.100.4.16",Windows 11 Entreprise,Tanium Client,1
CMRUCT22140.sabc.cm,"fe80::694e:56b1:d8b8:981a
10.102.8.168",Windows 10 Entreprise,Tanium Client,1
CMRUCT22075.sabc.cm,"fe80::10c3:21f1:e86f:5cef
10.98.2.32",Windows 10 Entreprise,Tanium Client,1
CMRUCT24109.sabc.cm,"fe80::41bf:5ac1:5b38:326
10.102.8.205",Windows 10 Entreprise,Tanium Client,1
CMRLPT22028.sabc.cm,"fe80::dd55:86d8:e96:5170
10.98.0.68",Windows 10 Professionnel,Tanium Client,1
CMRUCT23290.sabc.cm,"fe80::15d6:4530:a59:f3a1
10.96.161.48",Windows 10 Professionnel,Tanium Client,1
CMRLPT22167.sabc.cm,"fe80::e807:29ed:5afc:31e
10.98.0.21",Windows 10 Entreprise,Tanium Client,1
CMRLPT24192.sabc.cm,"fe80::6508:7b5e:6fd3:4641
10.100.0.215",Windows 11 Entreprise,Tanium Client,1
CMRLPT23262.sabc.cm,"fe80::ca2e:16fa:7d2b:630
10.229.230.103",Windows 10 Entreprise,Tanium Client,1
CMRUCT21053.sabc.cm,"fe80::c984:a2b:4410:22d9
10.102.2.1",Windows 10 Entreprise,Tanium Client,1
CMRUCT23005.sabc.cm,"fe80::3421:60b6:f88b:3900
10.97.224.223",Windows 10 Entreprise,Tanium Client,1
CMRLPT21164.sabc.cm,"fe80::16c4:f3d8:4a89:bfa3
10.97.225.231",Windows 11 Entreprise,Tanium Client,1
CMRLPT22065.sabc.cm,"fe80::516b:94a6:2498:1b82
192.168.63.205",Windows 10 Entreprise,Tanium Client,1
CMRUCT20023.sabc.cm,"fe80::c9fd:25ec:9bd1:3dd
10.99.2.16",Windows 10 Entreprise,Tanium Client,1
CMRUCT23036.sabc.cm,"fe80::7219:e8fb:bbb4:76c9
10.97.44.5",Windows 10 Entreprise,Tanium Client,1
CMRUCT22021.sabc.cm,"fe80::ef14:a61d:1389:ad1f
10.96.2.60",Windows 10 Entreprise,Tanium Client,1
CMRUCT21051.sabc.cm,"fe80::821e:de66:8ec5:6be8
10.102.2.98",Windows 10 Entreprise,Tanium Client,1
CMRUCT22048.sabc.cm,"fe80::c3cd:cb8a:27e1:dc5d
192.168.8.189",Windows 10 Entreprise,Tanium Client,1
CMRLPT23050.sabc.cm,"fe80::9832:753c:331e:1bd
10.96.2.4",Windows 10 Entreprise,Tanium Client,1
